2020/02/02 13:16:45.473801 lucky, code=7001, gift=0, name=Mate30Pro 5G, link=, data=, left=19863 
2020/02/02 13:16:45.474795 lucky, code=1427, gift=0, name=Mate30Pro 5G, link=, data=, left=19862 
2020/02/02 13:16:45.474795 lucky, code=1427, gift=0, name=Mate30Pro 5G, link=, data=, left=19861 
2020/02/02 13:16:45.474795 lucky, code=1427, gift=0, name=Mate30Pro 5G, link=, data=, left=19860 
2020/02/02 13:16:45.474795 lucky, code=1427, gift=0, name=Mate30Pro 5G, link=, data=, left=19859 
2020/02/02 13:16:45.475792 lucky, code=975, gift=0, name=Mate30Pro 5G, link=, data=, left=19858 
2020/02/02 13:16:45.475792 lucky, code=975, gift=0, name=Mate30Pro 5G, link=, data=, left=19857 
2020/02/02 13:16:45.475792 lucky, code=975, gift=0, name=Mate30Pro 5G, link=, data=, left=19856 
2020/02/02 13:16:45.475792 lucky, code=975, gift=0, name=Mate30Pro 5G, link=, data=, left=19855 
2020/02/02 13:16:45.475792 lucky, code=975, gift=0, name=Mate30Pro 5G, link=, data=, left=19854 
2020/02/02 13:16:45.476789 lucky, code=3358, gift=0, name=Mate30Pro 5G, link=, data=, left=19853 
2020/02/02 13:16:45.476789 lucky, code=3358, gift=0, name=Mate30Pro 5G, link=, data=, left=19852 
2020/02/02 13:16:45.476789 lucky, code=3358, gift=0, name=Mate30Pro 5G, link=, data=, left=19851 
2020/02/02 13:16:45.476789 lucky, code=3358, gift=0, name=Mate30Pro 5G, link=, data=, left=19850 
2020/02/02 13:16:45.476789 lucky, code=3358, gift=0, name=Mate30Pro 5G, link=, data=, left=19849 
2020/02/02 13:16:45.477787 lucky, code=1435, gift=0, name=Mate30Pro 5G, link=, data=, left=19848 
2020/02/02 13:16:45.477787 lucky, code=1435, gift=0, name=Mate30Pro 5G, link=, data=, left=19847 
2020/02/02 13:16:45.477787 lucky, code=1435, gift=0, name=Mate30Pro 5G, link=, data=, left=19846 
2020/02/02 13:16:45.477787 lucky, code=1435, gift=0, name=Mate30Pro 5G, link=, data=, left=19845 
2020/02/02 13:16:45.477787 lucky, code=1435, gift=0, name=Mate30Pro 5G, link=, data=, left=19844 
2020/02/02 13:16:45.478784 lucky, code=1700, gift=0, name=Mate30Pro 5G, link=, data=, left=19843 
2020/02/02 13:16:45.478784 lucky, code=1700, gift=0, name=Mate30Pro 5G, link=, data=, left=19842 
2020/02/02 13:16:45.478784 lucky, code=1700, gift=0, name=Mate30Pro 5G, link=, data=, left=19841 
2020/02/02 13:16:45.478784 lucky, code=1700, gift=0, name=Mate30Pro 5G, link=, data=, left=19840 
2020/02/02 13:16:45.478784 lucky, code=1700, gift=0, name=Mate30Pro 5G, link=, data=, left=19839 
2020/02/02 13:16:45.478784 lucky, code=1700, gift=0, name=Mate30Pro 5G, link=, data=, left=19838 
2020/02/02 13:16:45.478784 lucky, code=1700, gift=0, name=Mate30Pro 5G, link=, data=, left=19837 
2020/02/02 13:16:45.479781 lucky, code=1700, gift=0, name=Mate30Pro 5G, link=, data=, left=19836 
2020/02/02 13:16:45.479781 lucky, code=9267, gift=0, name=Mate30Pro 5G, link=, data=, left=19835 
2020/02/02 13:16:45.479781 lucky, code=9267, gift=0, name=Mate30Pro 5G, link=, data=, left=19834 
2020/02/02 13:16:45.479781 lucky, code=9267, gift=0, name=Mate30Pro 5G, link=, data=, left=19833 
2020/02/02 13:16:45.479781 lucky, code=9267, gift=0, name=Mate30Pro 5G, link=, data=, left=19832 
2020/02/02 13:16:45.479781 lucky, code=9267, gift=0, name=Mate30Pro 5G, link=, data=, left=19831 
2020/02/02 13:16:45.479781 lucky, code=9267, gift=0, name=Mate30Pro 5G, link=, data=, left=19830 
2020/02/02 13:16:45.480779 lucky, code=9267, gift=0, name=Mate30Pro 5G, link=, data=, left=19829 
2020/02/02 13:16:45.480779 lucky, code=2309, gift=0, name=Mate30Pro 5G, link=, data=, left=19828 
2020/02/02 13:16:45.480779 lucky, code=2309, gift=0, name=Mate30Pro 5G, link=, data=, left=19827 
2020/02/02 13:16:45.480779 lucky, code=2309, gift=0, name=Mate30Pro 5G, link=, data=, left=19826 
2020/02/02 13:16:45.480779 lucky, code=2309, gift=0, name=Mate30Pro 5G, link=, data=, left=19825 
2020/02/02 13:16:45.480779 lucky, code=2309, gift=0, name=Mate30Pro 5G, link=, data=, left=19824 
2020/02/02 13:16:45.481776 lucky, code=1435, gift=0, name=Mate30Pro 5G, link=, data=, left=19823 
2020/02/02 13:16:45.481776 lucky, code=1435, gift=0, name=Mate30Pro 5G, link=, data=, left=19822 
2020/02/02 13:16:45.481776 lucky, code=1435, gift=0, name=Mate30Pro 5G, link=, data=, left=19821 
2020/02/02 13:16:45.481776 lucky, code=1435, gift=0, name=Mate30Pro 5G, link=, data=, left=19820 
2020/02/02 13:16:45.481776 lucky, code=1435, gift=0, name=Mate30Pro 5G, link=, data=, left=19819 
2020/02/02 13:16:45.481776 lucky, code=1435, gift=0, name=Mate30Pro 5G, link=, data=, left=19818 
2020/02/02 13:16:45.482773 lucky, code=8089, gift=0, name=Mate30Pro 5G, link=, data=, left=19817 
2020/02/02 13:16:45.482773 lucky, code=8089, gift=0, name=Mate30Pro 5G, link=, data=, left=19816 
2020/02/02 13:16:45.482773 lucky, code=8089, gift=0, name=Mate30Pro 5G, link=, data=, left=19815 
2020/02/02 13:16:45.482773 lucky, code=8089, gift=0, name=Mate30Pro 5G, link=, data=, left=19814 
2020/02/02 13:16:45.482773 lucky, code=8089, gift=0, name=Mate30Pro 5G, link=, data=, left=19813 
2020/02/02 13:16:45.482773 lucky, code=8089, gift=0, name=Mate30Pro 5G, link=, data=, left=19812 
2020/02/02 13:16:45.483770 lucky, code=4855, gift=0, name=Mate30Pro 5G, link=, data=, left=19811 
2020/02/02 13:16:45.483770 lucky, code=4855, gift=0, name=Mate30Pro 5G, link=, data=, left=19810 
2020/02/02 13:16:45.483770 lucky, code=4855, gift=0, name=Mate30Pro 5G, link=, data=, left=19809 
2020/02/02 13:16:45.483770 lucky, code=4855, gift=0, name=Mate30Pro 5G, link=, data=, left=19808 
2020/02/02 13:16:45.483770 lucky, code=4855, gift=0, name=Mate30Pro 5G, link=, data=, left=19807 
2020/02/02 13:16:45.483770 lucky, code=4855, gift=0, name=Mate30Pro 5G, link=, data=, left=19806 
2020/02/02 13:16:45.484770 lucky, code=2477, gift=0, name=Mate30Pro 5G, link=, data=, left=19805 
2020/02/02 13:16:45.484770 lucky, code=2477, gift=0, name=Mate30Pro 5G, link=, data=, left=19804 
2020/02/02 13:16:45.484770 lucky, code=2477, gift=0, name=Mate30Pro 5G, link=, data=, left=19803 
2020/02/02 13:16:45.484770 lucky, code=2477, gift=0, name=Mate30Pro 5G, link=, data=, left=19802 
2020/02/02 13:16:45.484770 lucky, code=2477, gift=0, name=Mate30Pro 5G, link=, data=, left=19801 
